Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1740863775.432411,18356.0,9364.0,10064.0,-2477.0,-10760.0,-27036.0
1740863775.4511871,14676.0,10632.0,10028.0,-1144.0,-15190.0,-27956.0
1740863775.4689302,14572.0,13680.0,12128.0,-3453.0,-22471.0,-29243.0
1740863775.486614,13520.0,15944.0,11196.0,-8352.0,-14689.0,-32768.0
1740863775.5047097,14144.0,18492.0,8960.0,-12164.0,-17139.0,-32768.0
1740863775.5225782,18052.0,22388.0,7720.0,-14614.0,-24771.0,-32768.0
1740863775.5409257,25324.0,26960.0,6276.0,-18677.0,-32768.0,-32768.0
1740863775.5586276,32232.0,29260.0,3776.0,-25331.0,-32768.0,-32768.0
1740863775.5764918,32767.0,29320.0,-120.0,-30160.0,-32768.0,-32768.0
1740863775.5939455,30928.0,25216.0,-2248.0,-32356.0,-32768.0,-20634.0
1740863775.6120446,25304.0,23304.0,-4968.0,-30582.0,-32768.0,-8082.0
1740863775.6296117,21880.0,21244.0,-6972.0,-28135.0,-32768.0,-1608.0
1740863775.647313,21516.0,21120.0,-10584.0,-22311.0,-32768.0,2781.0
1740863775.6658814,21568.0,18476.0,-10572.0,-12213.0,-32768.0,10011.0
1740863775.6833584,19072.0,18124.0,-7424.0,-4815.0,-26091.0,17397.0
1740863775.7016914,15288.0,17408.0,-6688.0,-1741.0,-13627.0,23955.0
1740863775.719388,10268.0,17612.0,-5520.0,-1622.0,-14834.0,27637.0
1740863775.738244,7084.0,16652.0,-4356.0,-3738.0,-17296.0,27714.0
1740863775.75569,5728.0,13772.0,-6196.0,-6309.0,-21420.0,23701.0
1740863775.7735589,7232.0,16140.0,-9120.0,-6905.0,-27177.0,18698.0
1740863775.7913327,6044.0,18672.0,-10272.0,-5494.0,-27789.0,16094.0
1740863775.8100135,7824.0,18076.0,-12068.0,-6169.0,-29641.0,12995.0
1740863775.828023,9380.0,14656.0,-14996.0,-5431.0,-28825.0,13255.0
1740863775.8465307,12072.0,12284.0,-16080.0,-2678.0,-21035.0,16953.0
1740863775.8656952,10632.0,12312.0,-17588.0,150.0,-12679.0,21485.0
1740863775.8840864,7364.0,13140.0,-19256.0,3938.0,-13739.0,23300.0
1740863775.9020736,6856.0,13696.0,-18076.0,6264.0,-16025.0,21375.0
1740863775.9206226,6856.0,13696.0,-18076.0,6264.0,-16025.0,21375.0
1740863775.9390714,8552.0,13824.0,-18956.0,8207.0,-15916.0,18948.0
1740863775.9565458,9824.0,10788.0,-20224.0,13970.0,-4212.0,21250.0
1740863775.9752827,9824.0,10788.0,-20224.0,13970.0,-4212.0,21250.0
1740863775.9929888,9824.0,10788.0,-20224.0,13970.0,-4212.0,21250.0
1740863776.0118284,9824.0,10788.0,-20224.0,13970.0,-4212.0,21250.0
1740863776.0291889,9824.0,10788.0,-20224.0,13970.0,-4212.0,21250.0
1740863776.047206,9824.0,10788.0,-20224.0,13970.0,-4212.0,21250.0
1740863776.06571,9824.0,10788.0,-20224.0,13970.0,-4212.0,21250.0
1740863776.0833762,9824.0,10788.0,-20224.0,13970.0,-4212.0,21250.0
1740863776.101701,9824.0,10788.0,-20224.0,13970.0,-4212.0,21250.0
1740863776.1207302,9824.0,10788.0,-20224.0,13970.0,-4212.0,21250.0
1740863776.1389184,9824.0,10788.0,-20224.0,13970.0,-4212.0,21250.0
1740863776.1567426,8172.0,9472.0,-20608.0,19453.0,1719.0,25779.0
1740863776.1749465,3368.0,-4880.0,1172.0,31658.0,-8980.0,-1669.0
1740863776.1930218,4620.0,-5968.0,3328.0,26403.0,-12269.0,-4714.0
1740863776.2114282,6296.0,-6908.0,3828.0,20228.0,-15513.0,-7704.0
1740863776.2303972,8024.0,-8036.0,976.0,15704.0,-14200.0,-9076.0
1740863776.248342,9868.0,-9592.0,-680.0,13816.0,-12046.0,-5885.0
1740863776.265631,8476.0,-10172.0,-3052.0,14341.0,-1251.0,-1861.0
1740863776.2833018,5764.0,-9860.0,-3296.0,17282.0,3832.0,-357.0
1740863776.3013299,3624.0,-9588.0,-1768.0,21331.0,3107.0,-3486.0
1740863776.3209474,4996.0,-8252.0,1360.0,23930.0,-3496.0,-10950.0
1740863776.338603,9224.0,-7312.0,2884.0,22489.0,-13105.0,-17764.0
1740863776.3560824,13340.0,-6944.0,3704.0,19199.0,-21455.0,-19183.0
1740863776.3745797,14292.0,-7388.0,3836.0,16242.0,-21363.0,-18104.0
1740863776.392672,14776.0,-8252.0,4764.0,13629.0,-18079.0,-16480.0
1740863776.4116983,14676.0,-8440.0,4356.0,9768.0,-16742.0,-15104.0
1740863776.4303973,16236.0,-10252.0,4532.0,5443.0,-8706.0,-12627.0
1740863776.448993,18088.0,-11736.0,2824.0,3207.0,-4746.0,-7838.0
1740863776.4679925,17596.0,-13652.0,2388.0,2661.0,5134.0,1448.0
1740863776.4856384,12680.0,-14796.0,3648.0,704.0,16660.0,11147.0
1740863776.5045097,6212.0,-11032.0,2892.0,-1625.0,28870.0,17360.0
1740863776.5229008,1296.0,-8008.0,2760.0,-5231.0,32767.0,17666.0
1740863776.5414758,-2232.0,-7240.0,992.0,-7145.0,32767.0,14044.0
