Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1739652293.666003,3416,-2816,26060,6039,21144,31788
1739652293.666003,3604,-2572,25304,6763,21667,31655
1739652293.6960022,3684,-2144,24632,7565,22106,31523
1739652293.7568288,3872,-1560,23988,8454,22507,31340
1739652293.771873,3788,-852,23304,9333,22838,31065
1739652293.7858775,3796,-96,22836,10095,23087,30771
1739652293.7868757,3764,712,21912,10900,23279,30408
1739652293.7883458,3488,1352,21388,11587,23542,30177
1739652293.7883458,3324,2220,20980,12269,23621,29586
1739652293.7883458,3836,2932,20088,12996,23902,29015
1739652293.7895625,3524,3412,19200,13787,24084,28514
1739652293.7895625,3360,3976,18508,14507,23879,27976
1739652293.7908125,4088,4768,18028,15184,24197,27311
1739652293.7908125,4428,5416,17796,15610,24316,26755
1739652293.792272,4604,5864,17312,15942,24439,26039
1739652293.7932787,4700,6368,16868,16048,24385,25283
1739652293.7944715,5172,6584,16652,16226,24407,24454
1739652293.7944715,5300,7164,16784,16027,24432,23679
1739652293.7954762,5540,7436,16832,15478,24572,22889
1739652293.7965171,5556,7752,16792,14899,24613,22136
1739652293.800611,5500,7944,17156,14218,24465,21446
1739652293.8014848,5616,8260,17040,13128,24353,20810
1739652293.8014848,5500,8240,16996,12014,24262,20325
1739652293.8034763,5268,8264,16524,11019,24090,19865
1739652293.8034763,5148,8208,16040,10362,23903,19462
1739652293.804476,5056,8376,15260,9913,23692,19057
1739652293.815683,4984,8340,14444,9786,23475,18603
1739652293.8306875,4944,8308,13568,10003,23175,18113
1739652293.8611312,4680,8316,12784,10515,22835,17545
1739652293.8771422,4600,8464,11864,11288,22449,16925
1739652293.9061806,4344,8656,11340,12366,22127,16206
1739652293.9061806,4040,8872,10764,13617,21623,15469
1739652293.9070868,3708,9240,10192,15062,21179,14545
1739652293.9080858,3448,9568,9768,16614,20670,13483
1739652293.9090898,18272,12424,15620,15148,32767,-25031
1739652293.910155,18956,12388,15256,15285,32767,-26462
1739652293.910155,19448,12324,15184,15222,32767,-27918
1739652293.9112191,20028,12268,15172,15039,32767,-29329
1739652293.9130871,20428,11996,15720,14665,32767,-30889
1739652293.9130871,21468,11804,15816,14135,32767,-32255
1739652293.914362,22364,11208,15812,13330,32767,-32768
1739652293.921372,23364,10572,15600,12487,32767,-32768
1739652293.9363682,24580,10148,15316,11434,32767,-32768
1739652293.9363682,26004,9452,14436,10418,32767,-32768
1739652293.950603,27576,8864,13712,9371,32767,-32768
1739652293.9516075,29336,8176,12604,8313,32767,-32768
1739652293.9516075,30952,6876,11168,7380,32767,-32768
1739652293.9536045,32476,5112,9780,6621,32767,-32768
1739652293.9536045,32767,2992,7380,6168,32767,-32768
1739652293.9550524,32767,784,4884,6061,32767,-32768
1739652293.9560754,32767,-804,2216,6836,32767,-32768
1739652293.957141,32767,-4140,-152,7035,32767,-32768
1739652293.9662588,32767,-6760,-3520,7769,32767,-32768
1739652293.9819922,32767,-7740,-7604,9332,32767,-32768
1739652293.9819922,32767,-10024,-10804,11146,32767,-32768
1739652293.9830039,32767,-12248,-14028,12845,32767,-32768
1739652293.9960008,32767,-13888,-17428,15006,32767,-32768
1739652293.9960008,32767,-15636,-20344,17495,32767,-32768
1739652293.9980946,32767,-17332,-21816,19604,32767,-32768
1739652293.9980946,32767,-18276,-23180,21607,32767,-32768
1739652293.9991,32767,-31120,-26116,-29466,31343,-23946
1739652294.000005,32767,-32424,-29532,-31982,30959,-21244
1739652294.0009995,32767,-32768,-32768,-32471,30927,-18129
1739652294.0009995,32767,-32768,-32768,-30657,32087,-15039
1739652294.0020008,32696,-32768,-32768,-27110,31012,-12290
1739652294.0029993,32767,-32768,-32768,-22299,31897,-9718
1739652294.0042045,23928,-32768,-32768,-16136,28389,-8875
1739652294.006048,24084,-32768,-32768,-10150,27402,-8260
1739652294.006048,23312,-32768,-32768,-3674,26644,-8464
1739652294.010207,21592,-32768,-32768,3069,25962,-8813
1739652294.0127323,19836,-32768,-32768,9090,24596,-9378
1739652294.0258434,18728,-32496,-32768,14431,23517,-10045
1739652294.026734,17856,-31964,-32768,18956,22744,-10765
